Time (s),AccelX (g),AccelY (g),AccelZ (g)
12.1180,127.9102,0.1504,127.9180
12.1440,127.9160,0.1406,127.9004
12.1700,127.8945,0.1523,127.8574
12.1960,127.9062,0.1621,127.8574
12.2220,127.9043,0.1738,127.8672
12.2480,127.9102,0.1797,127.8418
12.2730,127.9297,0.1602,127.8633
12.3000,127.9277,0.1484,127.8691
12.3250,127.9160,0.1465,127.8789
12.3510,127.9219,0.1270,127.8789
12.3770,63.9980,63.9980,63.9980
12.4020,127.9121,0.1465,127.9258
12.4280,127.9258,0.1387,127.9512
12.4540,127.9219,0.1191,127.9355
12.4800,127.9395,0.1113,127.9336
12.5060,127.9551,0.1211,127.9414
12.5310,127.9531,0.1250,127.9414
12.5570,127.9648,0.1484,127.9043
12.5830,127.9355,0.1484,127.9004
12.6090,127.9395,0.1445,127.9023
12.6350,127.9297,0.1602,127.8887
12.6600,127.9473,0.1387,127.8926
12.6870,127.9551,0.1328,127.8965
12.7120,127.9434,0.1484,127.9043
12.7380,127.9219,0.1523,127.9727
12.7640,127.9238,0.1660,0.0020
12.7890,63.9980,63.9980,63.9980
12.8150,127.9199,0.1602,127.9707
12.8410,127.9180,0.1387,127.9453
12.8670,127.9316,0.1387,127.9219
12.8930,127.9316,0.1348,127.9141
12.9180,127.9355,0.1367,127.9102
12.9440,127.9277,0.1387,127.9121
12.9700,127.9355,0.1348,127.9121
12.9960,127.9395,0.1465,127.8652
13.0220,127.9297,0.1328,127.8730
13.0470,127.9492,0.1172,127.8945
13.0740,127.9570,0.1250,127.9082
13.0990,127.9238,0.1387,127.9238
13.1250,127.9473,0.1465,127.9297
13.1510,127.9590,0.1387,127.9434
13.1760,127.9258,0.1289,127.9727
13.2020,63.9980,63.9980,63.9980
13.2280,127.9355,0.1367,127.9590
13.2540,127.9336,0.1309,127.9375
13.2800,127.9395,0.1348,127.9453
13.3050,127.9277,0.1348,127.9277
13.3310,127.9434,0.1191,127.8965
13.3580,127.9727,0.1309,127.9648
13.3830,127.9590,0.1406,127.9434
13.4090,127.9512,0.1191,127.9238
13.4340,127.9414,0.1270,127.9238
13.4600,127.9160,0.1172,127.9062
13.4870,127.9219,0.1035,127.9062
13.5120,127.9258,0.1133,127.9102
13.5380,127.9258,0.1230,127.9121
13.5630,127.9141,0.1309,127.9375
13.5900,127.9297,0.1152,127.9219
13.6160,63.9980,63.9980,63.9980
13.6410,127.9277,0.0977,127.9141
13.6670,127.8770,0.1035,127.8926
13.6920,127.9082,0.1094,127.9199
13.7180,127.9238,0.1094,127.9102
13.7450,127.9336,0.1270,127.9531
13.7700,127.9277,0.1113,127.9316
13.7960,127.9238,0.0996,127.9180
13.8210,127.9277,0.0977,127.9570
13.8470,127.9453,0.1074,127.9570
13.8740,127.9375,0.1094,127.9336
13.8990,127.9277,0.1133,127.9160
13.9250,127.9141,0.0664,127.9082
13.9500,127.9277,0.0742,127.9238
13.9760,127.9238,0.0840,127.9434
14.0030,127.9238,0.0840,127.9414
14.0280,63.9980,63.9980,63.9980
14.0540,127.9258,0.0859,127.9453
14.0790,127.9258,0.0957,127.9277
14.1050,127.9355,0.0723,127.8848
14.1320,127.9219,0.0781,127.8906
14.1570,127.9160,0.0742,127.9082
14.1830,127.8672,0.0996,127.9102
14.2080,127.8848,0.1172,127.9082
14.2340,127.9102,0.1191,127.9102
14.2610,127.9121,0.1113,127.9219
14.2860,127.9121,0.0996,127.9121
14.3120,127.9141,0.1113,127.9453
14.3370,127.9082,0.0977,127.9512
14.3630,127.9141,0.0977,127.9453
14.3900,127.9062,0.1016,127.9219
14.4150,127.9102,0.0977,127.9160
14.4410,63.9980,63.9980,63.9980
14.4670,127.9258,0.0859,127.9238
14.4920,127.9238,0.0781,127.9082
14.5180,127.9082,0.0977,127.9297
14.5440,127.9453,0.0957,127.9023
14.5700,127.9512,0.0918,127.9043
14.5960,127.9316,0.0840,127.9062
14.6210,127.9082,0.0957,127.9160
14.6480,127.9141,0.0996,127.9062
14.6730,127.9062,0.1113,127.9121
14.6990,127.9102,0.1074,127.9258
14.7250,127.9199,0.0801,127.9453
14.7500,127.9141,0.0840,127.9336
14.7770,127.9102,0.0898,127.9160
14.8020,127.9082,0.0859,127.9160
14.8280,127.9199,0.0957,127.9512
14.8540,63.9980,63.9980,63.9980
14.8790,127.9082,0.1016,127.9590
14.9050,127.9043,0.0996,127.9473
14.9310,127.9102,0.1055,127.9473
14.9570,127.9062,0.1094,127.9316
14.9830,127.9082,0.1133,127.9277
15.0080,127.9023,0.1035,127.9316
15.0340,127.9219,0.0957,127.9355
15.0600,127.9277,0.0898,127.9219
15.0860,127.8945,0.1055,127.9297
15.1120,127.9023,0.1113,127.9375
15.1370,127.9082,0.1055,127.9531
15.1640,127.9180,0.0859,127.9570
15.1890,127.9297,0.0742,127.9707
15.2150,127.9180,0.0664,127.9590
15.2410,127.9199,0.0664,127.9473
15.2660,63.9980,63.9980,63.9980
15.2920,127.9082,0.0723,127.9336
15.3180,127.9043,0.0684,127.9473
15.3440,127.9180,0.0898,127.9512
15.3700,127.9121,0.0820,127.9609
15.3950,127.9141,0.0918,127.9355
15.4210,127.9238,0.1016,127.9336
15.4480,127.9180,0.0938,127.9160
15.4730,127.9102,0.0996,127.9336
15.4990,127.9062,0.0840,127.9453
15.5240,127.8984,0.0840,127.9316
15.5500,127.9297,0.1016,127.9258
15.5770,127.9355,0.1016,127.9375
15.6020,127.9277,0.0996,127.9434
15.6280,127.9238,0.0996,127.9492
15.6530,127.9121,0.1035,127.9551
